Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
4/16/2012,40570.17,40740.11,40516.77,40604.91,85344508
4/17/2012,40604.63,40933.88,40534.62,40872.89,81791324
4/18/2012,40936.6,40939.47,40515.88,40526.8,87561143
4/19/2012,40599.74,40754.69,40263.96,40354.53,189823718
4/20/2012,40297.16,40391.75,39965.81,40141.26,78333300
4/23/2012,39960.85,39960.85,39024.91,39085.95,171088439
4/24/2012,39203.92,39324.16,38908.58,39305.37,116865691
4/25/2012,39354.79,39752.06,39315.62,39422.94,115869467
4/26/2012,39653.39,39816.44,39523.13,39761.78,94700296
4/27/2012,39671.05,40248.63,39577.36,40248.63,69318472
4/30/2012,40304.34,40310.69,40113.3,40273.65,55156737
5/2/2012,40396.67,40434.21,39971.26,40114.73,39906135
5/4/2012,40065.5,40125.12,39800.18,39888,76594701
5/7/2012,39399.63,39910.14,39346.5,39910.14,61508221
5/8/2012,39792.64,39833.73,39268.41,39268.41,111597601
5/9/2012,39379.73,39450.06,38970.95,39175.83,84500473
5/10/2012,39362.35,39424.43,39175.56,39404.16,98004837
5/11/2012,39229.36,39278.24,38949.16,39278.24,107405455
5/14/2012,39092.87,39092.87,38343.26,38500.68,107653167
5/15/2012,38571.37,38599.68,38092.58,38157.26,89674850
5/16/2012,37856.81,38262.26,37453.05,38215.23,194322674
5/17/2012,38128.3,38190.36,37228.88,37228.88,121278884
5/18/2012,36820.19,37403.3,36820.19,37255.68,120264273
5/21/2012,37490.34,37883.56,37481.75,37790.45,74439231
5/22/2012,37941.24,38010.69,37675.9,37887.74,68917401
5/23/2012,37631.28,37631.28,36934.93,36934.93,111461008
5/24/2012,37136.96,37158.45,36483.38,36852.75,113072668
5/25/2012,37006.15,37231.46,36629.41,36860.67,64095445
5/28/2012,37100,37224.26,37027.91,37178.24,54191587
5/29/2012,37198.31,37662.66,37000.92,37662.66,59359814
5/30/2012,37478.82,37513.28,37134.11,37348.22,78356841
5/31/2012,37296.96,37793.58,37228.77,37793.58,213034067
6/1/2012,37675.74,37769.69,37049.14,37312.07,117169176
6/4/2012,37209.6,37429.18,37029.04,37287.97,202916032
6/5/2012,37333.87,37354.15,36653.28,36653.28,129486972
6/6/2012,36881.89,37707.25,36881.89,37707.25,91998302
6/8/2012,37552.38,38527.19,37463.77,38526.59,94130619
6/11/2012,38754.03,38912.51,38696.34,38748.15,85527604
6/12/2012,38711.15,39461.65,38711.15,39417.95,116715798
6/13/2012,39461.33,39660.93,39249.91,39337.9,61838672
6/14/2012,39348.63,39423.14,39188.59,39286.64,61974657
6/15/2012,39393.83,39905.78,39393.83,39738.57,171434558
6/18/2012,40122,40226.12,39611.85,39724.59,79755443
6/19/2012,39840.63,40632.72,39840.63,40632.72,131490377
6/20/2012,40560.54,40687.59,40445.43,40511.78,112770459
6/21/2012,40314.86,40416,40105.5,40207.61,131550810
6/22/2012,39898.82,40219.56,39845,40187.43,76432855
6/25/2012,40025.63,40025.63,39728.44,39728.44,47030991
6/26/2012,39917.85,40429.48,39875.1,40349.79,70713093
6/27/2012,40416.27,40710.21,40301.11,40710.03,79442812
6/28/2012,40739.17,40750.48,40081.71,40165.34,91798810
6/29/2012,40694.64,40810.88,40450.39,40810.88,93538771
7/2/2012,40795.17,40884.11,40519.43,40585.86,93581945
7/3/2012,40695.12,40877.45,40606.29,40788.16,114308987
7/4/2012,40776.57,40776.57,40511.72,40635.55,151776912
7/5/2012,40758.83,41217.07,40696.01,41013.96,135383947
7/6/2012,41048.12,41121,40569.75,40792.66,72948733
7/9/2012,40661.98,40733.8,40274.73,40354.74,72274457
7/10/2012,40400.27,40464.64,40161.93,40356.05,86403580
7/11/2012,40280.25,40336.27,39860.06,39983.4,108372372
7/12/2012,39780.61,39995.19,39714.42,39778.1,115477319
7/13/2012,39966.16,40331.45,39931.5,40301.29,89796620
7/16/2012,40338.82,40338.82,40090.11,40277.84,77959821
7/17/2012,40299.59,40481.15,40212.85,40426.42,121637693
7/18/2012,40404.09,40437.82,40066.82,40370.59,117492523
7/19/2012,40485.12,40545.64,40189.58,40545.64,105159811
7/20/2012,40469.18,40503.79,40085.35,40148.15,163068566
7/23/2012,39702.1,39736.63,38930.64,38982.82,97898535
7/24/2012,39038,39201.54,38810.22,39201.16,76034555
7/25/2012,39040.31,39519.8,38992.72,39245.74,101300355
7/26/2012,39330.83,39714.86,39133.44,39213.05,81650393
7/27/2012,39696.74,39952.92,39584.89,39935.82,79663448
7/30/2012,40003.99,40266.73,39836.16,40266.73,57809963
7/31/2012,40175.4,40282.26,39922.83,40163.91,120910421
8/1/2012,40102.8,40167.27,39944.41,40153.87,65806042
8/2/2012,40113.29,40386.91,39792.44,39876.95,72946526
8/3/2012,39936.25,40668.01,39936.25,40594.36,51856395
8/6/2012,40682.4,41170.5,40646,41170.5,45491928
8/7/2012,41149.04,41303.01,40983.48,41224.77,81954897
8/8/2012,41121.59,41254,40998.59,41254,55667858
8/9/2012,41443.48,42009.67,41271.62,41976.63,72084369
8/10/2012,41798.16,42050.7,41711.12,41878.23,56864427
8/13/2012,41755.38,42209.9,41687.06,41891.37,48995508
8/14/2012,42108.84,42184.91,41914.08,41997.92,48282302
8/16/2012,42162.67,42446.64,42122.39,42408.41,76947659
8/17/2012,42429.96,42521.16,41929.15,41940.79,53140225
8/20/2012,41957.86,42051.36,41741.47,41759.28,59117122
8/21/2012,41995.39,42242.97,41995.39,42095.04,69204764
8/22/2012,42004.85,42062.85,41754.72,41846.28,252827605
8/23/2012,42013.65,42025.71,41638.93,41795.63,64172689
8/24/2012,41766.67,41913.1,41606.4,41852.69,51787507
8/27/2012,41797.03,41979.3,41680.34,41738.76,52297420
8/28/2012,41735.76,41780.79,41579.47,41600.89,53852621
8/29/2012,41628.09,41653.62,41246.23,41246.4,73798857
8/30/2012,41234.08,41322.65,41016.98,41077.44,92099566
8/31/2012,41180.1,41640.12,41174.77,41573.57,97984319
9/3/2012,41629.19,41928.25,41607.33,41731.43,71636831
9/4/2012,41709.82,41762.08,41420.68,41461.34,46031948
9/5/2012,41484.6,41700.8,41394.2,41627.2,51926662
9/6/2012,41723.09,42166.25,41712.08,42134.93,73352925
9/7/2012,42194.1,42616.64,42194.1,42503.57,89141934
9/10/2012,42543.6,42794.99,42543.6,42764.19,64996765
9/11/2012,42639.32,43010.58,42525.49,43010.58,84572638
9/12/2012,43097.2,43171.85,42850.25,42982.12,66714054
9/13/2012,42943.13,43047.41,42756.67,43047.41,67697269
9/14/2012,43866.28,44140.45,43730.02,44089.49,137627313
9/17/2012,43986.27,44146.54,43852.41,43896.55,53923298
9/18/2012,43843.65,43967.58,43640.49,43967.58,116027015
9/19/2012,44041.59,44217.32,43919.37,44173.5,164488678
9/20/2012,43919.03,43926.62,43573.87,43737.02,122077037
9/21/2012,43812.18,43904.85,43618.62,43701.32,168711783
9/24/2012,43680.02,43680.02,43388.55,43526.41,107098816
9/25/2012,43563.41,43822.59,43521.18,43822.42,149408477
9/26/2012,43443.61,43462.28,43293.99,43462.14,113904463
9/27/2012,43521.92,43763.3,43432.43,43763.3,153556041
9/28/2012,43817.67,43872.45,43545.62,43739.81,160537183
10/1/2012,43631.67,44183.21,43544.47,44183.21,152636835
10/2/2012,44144.2,44439.52,44127.61,44232.06,201338086
10/3/2012,44231.61,44353.52,43978.64,44096.24,140773880
10/4/2012,44228.82,44273.07,43840.23,43840.23,108500218
10/5/2012,43941.75,44524.65,43918.02,44524.65,180369080
10/8/2012,44380.07,44445.19,44259.78,44376.95,209777999
10/9/2012,44378.72,44432.95,44010.42,44026.54,196979516
10/10/2012,43966.78,44234.24,43809.05,44234.24,165282530
10/11/2012,44149.23,44339.24,44099.08,44224.67,138686044
10/12/2012,44145.21,44201.37,43913.55,43988.28,131011657
10/15/2012,43938.68,44088.48,43859.71,44050.69,175052103
10/16/2012,44272.3,44446.91,44231.6,44441.19,208796126
10/17/2012,44435.3,44461,44091.86,44353.53,226496091
10/18/2012,44451.92,44617.35,44261.03,44550.12,271758039
10/19/2012,44528.63,44529.21,43759.43,43759.43,196073479
10/22/2012,43810.2,43949.16,43653.53,43728.91,170694495
10/23/2012,43738.39,43738.39,43133.41,43145.55,225041641
10/24/2012,43236.12,43324.89,43042.9,43305.06,91064715
10/25/2012,43379.85,43457.81,43212.88,43374.6,133053093
10/26/2012,43164.58,43329.82,43005.98,43264.17,70123311
10/29/2012,43166.61,43241.3,43103.08,43177.45,99681678
10/30/2012,43173.32,43335.86,43173.32,43240.07,113322223
10/31/2012,43261.65,43521.23,43150.76,43232.44,71884211
11/2/2012,43408.53,43581.92,43194.47,43581.92,102441074
11/5/2012,43347.73,43604.22,43286.82,43567.6,87704120
11/6/2012,43602.78,43654.46,43497.59,43600.51,126008597
11/7/2012,43645.48,43719.96,43248.36,43304.29,111491737
11/8/2012,43275.15,43429.42,43132.64,43429.42,65938667
11/9/2012,43334.43,43356.65,42930.77,43210.47,86885662
11/12/2012,43150.53,43472.37,43150.53,43368.99,69580908
11/13/2012,43358.38,43610.01,43215.7,43610.01,78487133
11/14/2012,43636.99,44001.21,43574.93,43825.87,160333193
11/15/2012,43725.47,43973.29,43646.91,43845.94,139689201
11/16/2012,43867.41,44007.79,43772.6,43772.6,182187981
11/19/2012,43938.05,44389.12,43937.39,44369.05,100995743
11/20/2012,44381.83,44442.08,44191.33,44438.93,75859702
11/21/2012,44412.16,44439.35,44132.56,44218.33,99009828
11/22/2012,44231.51,44313.51,44121.53,44121.53,72335265
11/23/2012,44225.28,44436.63,44031.09,44436.63,55110220
11/26/2012,44504.6,44702.93,44346.31,44602.83,95746196
11/27/2012,44832.22,44871.02,44598.56,44655.24,88384282
11/28/2012,44615.66,44694.26,44419.92,44605.42,99954426
11/29/2012,44797.49,44965.45,44787.8,44787.84,78874639
11/30/2012,44832.16,45014.74,44700.54,45014.74,98652889
12/3/2012,44985.99,45373.14,44971.25,45293.43,79191876
12/4/2012,45276.48,45619.76,45248.71,45565.81,86826143
12/5/2012,45797.18,45924.13,45588.4,45772.59,92290380
12/6/2012,45880.88,46019.97,45687.12,46019.97,159356593
12/7/2012,46016.77,46016.77,45538.45,45538.45,121640478
12/10/2012,45547.98,45895.21,45503.39,45892.07,75838243
12/11/2012,45947.02,46517.46,45932.09,46517.46,117058149
12/12/2012,46633.26,46726.42,46390.48,46717.72,137870157
12/13/2012,46758.7,46781.83,46442.34,46653.84,52841812
12/14/2012,46669.51,46912.94,46583.25,46912.94,87074291
12/17/2012,46886.86,47089.1,46769.13,47089.1,119974058
12/18/2012,47229.02,47457.43,47173.99,47457.43,97301859
12/19/2012,47494.07,47920.75,47494.07,47920.75,209314861
12/20/2012,47707.98,47896.95,47609.86,47701.82,149351723
12/21/2012,47478.43,47556.27,47075.12,47479.87,158318768
12/27/2012,47473.85,47836.22,47416.53,47673.03,104292852
12/28/2012,47882.96,47941.82,47421.61,47460.59,137158048
1/2/2013,47961.62,48170.04,47938.03,48107.89,74847008
1/3/2013,48022.76,48222.72,47912.05,48222.72,160819630
1/4/2013,48060.35,48125.9,47762.85,47888.16,139704360
1/7/2013,47902.07,47922.79,47506.14,47589.33,75419175
1/8/2013,47496.09,47782.34,47221.15,47379.63,84045225
1/9/2013,47401.25,47476.33,47183.42,47407.28,74749320
1/10/2013,47497.99,47724.25,47247.09,47546.91,82729938
1/11/2013,47597.77,47611.17,47332.4,47440.8,133723878
1/14/2013,47611.81,47741.62,47418.65,47470.12,86581991
1/15/2013,47352.19,47373.32,46974.08,47086.54,284570136
1/16/2013,46948.87,47521.39,46862.55,47521.39,157604698
1/17/2013,47525.68,47874.01,47438.13,47661.37,109384117
1/18/2013,47921.35,47932.2,47684.79,47813.69,112332931
1/21/2013,47807.12,47945.29,47739.79,47936.61,62864201
1/22/2013,48048.69,48089.11,47703.12,47872.8,64864533
1/23/2013,47693.64,47922.81,47618.34,47733.24,134654398
1/24/2013,47769.01,47942.04,47619.83,47942.04,99215546
1/25/2013,47994.64,48005.97,47449.45,47613.95,293977595
1/28/2013,47529.91,47567.85,47169.6,47324.06,295839625
1/29/2013,47355.3,47355.3,47071.84,47328.4,95191290
1/30/2013,47031.12,47359.55,46847.89,46917.19,88602648
1/31/2013,46936.79,46970.11,46697.05,46840.15,217764143
2/1/2013,46937.6,47050.06,46851.16,46945.58,156488093
2/4/2013,47197.86,47296.06,46556.55,46556.55,76018568
2/5/2013,46634.33,46702.17,46506,46674.78,67816009
2/6/2013,46768.33,46815.01,46149.14,46149.14,122025373
2/7/2013,46180.14,46584.66,46122.83,46329.66,97889803
2/8/2013,46525.63,46771.38,46449.94,46741.54,77912456
2/11/2013,46851.89,46971.98,46676,46786.74,73481383
2/12/2013,46701.32,46958.65,46271.41,46399.26,229992199
2/13/2013,46435.12,46569.13,46346.28,46406.74,200788582
2/14/2013,46427.97,46490.28,45982.28,46211.54,116365054
2/15/2013,46097.73,46431.79,45969.44,46370.13,84614073
2/18/2013,46493.2,46630.43,46472.45,46508.27,84792606
2/19/2013,46524.73,46728.06,46410.65,46490.89,101075673
2/20/2013,46385.73,46509.44,45978.13,46051.76,92505987
2/21/2013,45874.21,45879.9,45420.61,45879.9,110791594
2/22/2013,45916.93,45948.12,45750.01,45948.12,86868490
2/25/2013,46012.95,46391.35,45961.9,46286.28,100319197
2/26/2013,45798.41,45915.37,45761.19,45868.35,87284155
2/27/2013,46035.32,46242.06,45943.94,46241.92,113558014
2/28/2013,46411.17,46457.18,46155.41,46280.36,115824122
3/1/2013,46148.65,46341.17,45926.71,46341.14,69274154
3/4/2013,46200.8,46254.67,46038.7,46137.7,89799366
3/5/2013,46258.56,46676.09,46258.02,46676.09,125680301
3/6/2013,46760.93,46979.4,46705.81,46762.65,112064623
3/7/2013,46774.55,46849.57,46664.07,46745.26,101670875
3/8/2013,46915.5,47277.75,46872.89,47074.39,103661812
3/11/2013,47152.59,47174.99,46878.72,46933.03,154694049
3/12/2013,46975.34,47035.12,46866.32,47010.4,85663868
3/13/2013,46969.17,47028.37,46765.82,46888.37,88111918
3/14/2013,46877.63,47363.97,46877.63,47223.68,114938479
3/15/2013,47443.3,47519.43,47088.82,47125.93,179167987
3/18/2013,46696.35,46761.16,46345.72,46668.41,67707798
3/19/2013,46622.09,46659.64,45995.77,46029.35,74257300
3/20/2013,46162.49,46335.96,46040.53,46068.24,85519656
3/21/2013,46258.95,46258.95,45482.95,45580.47,116999872
3/22/2013,45467.91,45475.73,45066.18,45066.18,151966910
3/25/2013,45519.57,45600.38,44548.19,44585.1,98318535
3/26/2013,44685.12,44724.95,44428.75,44724.88,128083814
