Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-07-04,312.74,312.74,312.74,312.74
2016-07-06,305.55,305.55,305.3,305.3
2016-07-07,305.3,309.75,305.3,309.75
2016-07-08,309.75,309.75,306.38,306.4
2016-07-11,306.4,306.61,306.4,306.61
2016-07-12,306.61,308.79,306.61,308.79
2016-07-13,308.79,308.79,308.79,308.79
2016-07-14,308.79,308.79,308.79,308.79
2016-07-15,310.31,311.61,309.87,311.61
2016-07-18,311.61,311.61,311.61,311.61
2016-07-19,306.17,308.76,306.17,308.76
2016-07-20,306.81,312.46,306.81,312.46
2016-07-21,312.46,315.65,312.46,315.65
2016-07-22,312.39,312.39,312.39,312.39
2016-07-25,312.4,312.4,310.02,310.02
2016-07-26,310.23,310.23,310.23,310.23
2016-07-27,310.23,310.23,310.23,310.23
2016-07-28,310.23,310.23,309.71,309.71
2016-07-29,309.71,310.15,309.71,309.71
2016-08-01,311.63,311.63,311.63,311.63
2016-08-02,310.24,312.11,310.24,312.11
2016-08-03,314.51,317.21,313.37,317.21
2016-08-04,310.98,310.98,308.28,308.28
2016-08-05,308.28,315.47,308.28,315.47
2016-08-08,315.47,316,315.47,316
2016-08-09,317.8,317.8,317.27,317.27
2016-08-10,317.27,317.27,317.27,317.27
2016-08-11,317.27,317.27,311.51,311.51
2016-08-12,314.02,314.5,314.02,314.5
2016-08-15,319.77,320.3,319.77,320.3
2016-08-16,320.3,320.3,318.62,318.62
2016-08-17,318.62,318.62,314.71,314.71
2016-08-18,314.71,315.24,308.95,311.6
2016-08-19,311.19,311.19,311.19,311.19
2016-08-22,311.82,313.23,311.82,313.23
2016-08-23,313.23,313.76,313.23,313.76
2016-08-24,313.76,316,313.76,316
2016-08-25,316,316,313.34,313.34
2016-08-26,313.83,313.83,313.83,313.83
2016-08-30,313.83,320.7,313.83,320.7
2016-08-31,317.84,317.84,314.33,315.23
2016-09-02,319.36,319.36,317.48,318.01
2016-09-05,318.01,321.05,317.12,321.05
2016-09-06,322.91,323.27,322.91,323.27
2016-09-07,322.38,323.27,319.92,323.27
2016-09-08,327.76,327.76,322.5,322.5
2016-09-09,317.72,326.27,317.72,326
2016-09-12,326.27,326.27,320.11,320.11
2016-09-13,320.11,320.11,316.77,316.77
2016-09-14,316.77,316.77,316.77,316.77
2016-09-16,316.77,320.11,316.77,320.11
2016-09-19,319.84,321.5,319.84,321.5
2016-09-20,321.5,321.5,321.24,321.24
2016-09-21,321.77,321.77,319.37,321.77
2016-09-22,318.37,318.37,315.97,315.97
2016-09-23,322.26,324.96,322.26,324.96
2016-09-26,324.96,324.96,319.26,319.26
2016-09-27,322.52,323.05,320.07,320.07
2016-09-28,320.61,320.61,312.16,312.63
